0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,3
10,4
11,5
12,0
13,1
14,2
15,3
16,4
17,5
18,0
19,1
20,2
21,3
22,4
23,5
24,0
25,1
26,2
27,3
28,4
29,5
30,0
31,1
32,2
33,3
34,4
35,5
36,12
37,13
38,14
39,15
40,16
41,17
42,18
43,12
44,13
45,14
46,15
47,16
48,17
49,18
50,12
51,13
52,14
53,15
54,16
55,17
56,18
57,12
58,13
59,14
60,15
61,16
62,17
63,18
64,12
65,13
66,14
67,15
68,16
69,17
70,18
71,36
72,37
73,38
74,39
75,40
76,41
77,42
78,43
79,44
80,45
81,46
82,47
83,48
84,49
85,50
86,51
87,52
88,36
89,37
90,38
91,39
92,40
93,41
94,42
95,43
96,44
97,45
98,46
99,47
